tract,Name,Individual_Income
25017354100,"West Cambridge, Cambridge, MA",48485
25025010701,"Back Bay West, Boston, MA",47425
25021401100,"Brookline, MA",46974
25025020101,"Beacon Hill, Boston, MA",46080
25025010802,"Back Bay West, Boston, MA",44259
25025040100,"Charlestown, Boston, MA",44202
25025120105,"Jamaica Hills / Pond, Boston, MA",43241
25021400500,"Aspinwall Hill, Brookline, MA",42743
25025070101,"Boston, MA",42739
25025010801,"Back Bay East, Boston, MA",42095
25025030500,"North End, Boston, MA",41832
25025010104,"Boston, MA",41816
25025020200,"Beacon Hill, Boston, MA",41807
25025030300,"Downtown, Boston, MA",41476
25021400400,"Corey Hill, Brookline, MA",41329
25021401000,"High Street Hill, Brookline, MA",41040
25025060200,"City Point, Boston, MA",40838
25025010600,"Prudential / St. Botolph, Boston, MA",40701
25025010702,"Back Bay East, Boston, MA",39996
25021400600,"Fisher Hill, Brookline, MA",39990
25017354000,"Neighborhood Nine, Cambridge, MA",39944
25025180301,"Winthrop, MA",39900
25025060301,"South Boston, Boston, MA",39273
25021400900,"Brookline Village, Brookline, MA",39035
25017352102,"East Cambridge, Cambridge, MA",38977
25021400100,"Brookline, MA",38810
25021400700,"Emerson Gardens, Brookline, MA",38735
25017353300,"Cambridgeport, Cambridge, MA",38547
25025060400,"South Boston, Boston, MA",38262
25017354800,"North Cambridge, Cambridge, MA",38144
25025180200,"Winthrop, MA",38059
25021400800,"Coolidge Corner South Side, Brookline, MA",37844
25021400300,"North Brookline, Brookline, MA",37729
25025010408,"Fenway/Kenmore, Boston, MA",37703
25025180400,"Winthrop, MA",37649
25025091001,"Dorchester, Boston, MA",37647
25017353102,"Area 2/MIT, Cambridge, MA",37563
25025020303,"West End, Boston, MA",37562
25025000100,"Lower Allston, Boston, MA",37275
25021400200,"North Brookline, Brookline, MA",37054
25025070200,"Chinatown, Boston, MA",36897
25017352200,"East Cambridge, Cambridge, MA",36800
25025020301,"West End, Boston, MA",36436
25017354600,"Neighborhood Nine, Cambridge, MA",36264
25017351100,"Spring Hill, Somerville, MA",36136
25025180101,"Winthrop, MA",36120
25017353600,"Agassiz, Cambridge, MA",35992
25025000803,"Allston, Boston, MA",35904
25017353700,"Mid-Cambridge, Cambridge, MA",35710
25017353800,"Mid-Cambridge, Cambridge, MA",35505
25025010404,"Fenway/Kenmore, Boston, MA",35358
25017350400,"Powder House Square, Somerville, MA",35338
25017355000,"North Cambridge, Cambridge, MA",35220
25025070300,"Boston, MA",35150
25025070600,"Columbus, Boston, MA",35100
25017352900,"Mid-Cambridge, Cambridge, MA",35079
25017354500,"Neighborhood Nine, Cambridge, MA",34857
25017351000,"Spring Hill, Somerville, MA",34814
25017353500,"Riverside, Cambridge, MA",34783
25017352600,"Wellington-Harrington, Cambridge, MA",34773
25025120700,"Jamaica Plain, Boston, MA",34436
25025030100,"North End, Boston, MA",34435
25025170701,"Revere, MA",34410
25025020302,"Beacon Hill, Boston, MA",34177
25017352800,"Wellington-Harrington, Cambridge, MA",33980
25017350103,"Ten Hills, Somerville, MA",33817
25017353200,"Cambridgeport, Cambridge, MA",33596
25017350900,"Davis Square, Somerville, MA",33454
25025081100,"Mission Hill, Boston, MA",33120
25025120600,"Hyde Square, Boston, MA",33100
25017351404,"East Somerville, Somerville, MA",32781
25025040600,"Charlestown, Boston, MA",32780
25017352700,"Wellington-Harrington, Cambridge, MA",32263
25017350200,"Winter Hill, Somerville, MA",32210
25025081001,"Mission Hill, Boston, MA",32155
25017351204,"Ward Two, Somerville, MA",32076
25017354700,"North Cambridge, Cambridge, MA",32006
25025070800,"Columbus, Boston, MA",31852
25025070402,"South End, Boston, MA",31748
25025120400,"Jamaica Plain, Boston, MA",31748
25025000802,"Allston, Boston, MA",31497
25025040300,"Charlestown, Boston, MA",31351
25017352500,"The Port, Cambridge, MA",31344
25017342400,"Everett, MA",31251
25025060101,"City Point, Boston, MA",31143
25017353400,"Cambridgeport, Cambridge, MA",30897
25025170800,"Revere, MA",30861
25025050901,"Eagle Hill, Boston, MA",30758
25025010300,"Fenway/Kenmore, Boston, MA",30704
25025040401,"Charlestown, Boston, MA",30641
25025060800,"D Street / West Broadway, Boston, MA",30640
25017351203,"Ward Two, Somerville, MA",30527
25017350104,"Somerville, MA",30482
25025051200,"Jeffries Point, Boston, MA",30430
25025160400,"Chelsea, MA",30413
25017353000,"Mid-Cambridge, Cambridge, MA",30219
25025070500,"South End, Boston, MA",30143
25025080900,"Mission Hill, Boston, MA",30133
25025000703,"Brighton, Boston, MA",30088
25017351500,"Ward Two, Somerville, MA",30036
25025010204,"Fenway/Kenmore, Boston, MA",29937
25017352101,"East Cambridge, Cambridge, MA",29870
25017350300,"Magoun Square, Somerville, MA",29830
25025051101,"East Boston, Boston, MA",29768
25025051000,"East Boston, Boston, MA",29760
25017351403,"East Somerville, Somerville, MA",29738
25025040200,"Charlestown, Boston, MA",29671
25025160502,"Chelsea, MA",29502
25017351300,"Prospect Hill, Somerville, MA",29495
25025071201,"Harrison Lenox, Boston, MA",29432
25025060501,"City Point, Boston, MA",29357
25025050700,"Central-Maverick Square / Paris Street, Boston, MA",29161
25017353101,"Cambridgeport, Cambridge, MA",29158
25025080100,"Lower Roxbury, Boston, MA",29120
25025160300,"Chelsea, MA",28931
25025050400,"Jeffries Point, Boston, MA",28929
25025030400,"North End, Boston, MA",28838
25017352400,"The Port, Cambridge, MA",28735
25017352300,"East Cambridge, Cambridge, MA",28675
25025160501,"Chelsea, MA",28501
25025090600,"Dudley / Brunswick King, Boston, MA",28476
25025070700,"Columbus, Boston, MA",28158
25025010403,"Fenway/Kenmore, Boston, MA",28019
25025050500,"Jeffries Point, Boston, MA",28019
25025090700,"Dorchester, Boston, MA",27883
25025010500,"Prudential / St. Botolph, Boston, MA",27865
25017353900,"Riverside, Cambridge, MA",27849
25025030200,"North End, Boston, MA",27848
25025050101,"Eagle Hill, Boston, MA",27744
25025050600,"Central-Maverick Square / Paris Street, Boston, MA",27515
25025160101,"Chelsea, MA",27177
25025081500,"Roxbury, Boston, MA",27012
25025091300,"Dorchester, Boston, MA",26639
25025081800,"Roxbury, Boston, MA",26608
25025120500,"Jamaica Plain, Boston, MA",26563
25025061200,"D Street / West Broadway, Boston, MA",26489
25025160200,"Chelsea, MA",26477
25025050200,"Central-Maverick Square / Paris Street, Boston, MA",26318
25025070900,"South End, Boston, MA",26066
25025040801,"Charlestown, Boston, MA",25918
25025061101,"South Boston, Boston, MA",24999
25025061000,"Columbus Park / Andrew Square, Boston, MA",24525
25025071101,"Harrison Lenox, Boston, MA",24495
25025060600,"D Street / West Broadway, Boston, MA",24379
25025010203,"Fenway/Kenmore, Boston, MA",24236
25025081300,"Roxbury, Boston, MA",23857
25025080500,"South End, Boston, MA",23841
25025050300,"Central-Maverick Square / Paris Street, Boston, MA",23793
25025080401,"Roxbury, Boston, MA",23679
25025060700,"D Street / West Broadway, Boston, MA",23484
25025081400,"Highland Park, Boston, MA",23357
25025081700,"Roxbury, Boston, MA",23115
25025010405,"Fenway/Kenmore, Boston, MA",22930
25025081200,"Jamaica Plain, Boston, MA",22226
25025080801,"Fenway/Kenmore, Boston, MA",21142
25025080300,"Roxbury, Boston, MA",20833
25025080601,"Boston, MA",19739
25025090901,"Dorchester, Boston, MA",19468
25025981800,"Jamaica Hills / Pond, Boston, MA",
25025981202,"D Street / West Broadway, Boston, MA",
25025981300,"Jeffries Point, Boston, MA",
25025981502,"Revere, MA",
25025010103,"Fenway/Kenmore, Boston, MA",
