tract,Name,Spouse_Income
25017354100,"West Cambridge, Cambridge, MA",66624
25025020301,"West End, Boston, MA",63456
25021401100,"Brookline, MA",60976
25025020200,"Beacon Hill, Boston, MA",59667
25017353900,"Riverside, Cambridge, MA",59429
25021400200,"North Brookline, Brookline, MA",59029
25017354800,"North Cambridge, Cambridge, MA",58859
25025020101,"Beacon Hill, Boston, MA",58844
25025010801,"Back Bay East, Boston, MA",57165
25025010104,"Boston, MA",57117
25021400800,"Coolidge Corner South Side, Brookline, MA",56706
25021400500,"Aspinwall Hill, Brookline, MA",56614
25025030300,"Downtown, Boston, MA",56061
25025071101,"Harrison Lenox, Boston, MA",55173
25025020303,"West End, Boston, MA",54787
25025090901,"Dorchester, Boston, MA",54444
25025180400,"Winthrop, MA",54440
25017353300,"Cambridgeport, Cambridge, MA",54195
25021400300,"North Brookline, Brookline, MA",54139
25025060301,"South Boston, Boston, MA",54027
25025010701,"Back Bay West, Boston, MA",53970
25017354000,"Neighborhood Nine, Cambridge, MA",53719
25021401000,"High Street Hill, Brookline, MA",53515
25025120105,"Jamaica Hills / Pond, Boston, MA",53185
25017339801,"Medford, MA",52893
25025010403,"Fenway/Kenmore, Boston, MA",52728
25017350103,"Ten Hills, Somerville, MA",52359
25017353800,"Mid-Cambridge, Cambridge, MA",52175
25025060101,"City Point, Boston, MA",52128
25017355000,"North Cambridge, Cambridge, MA",52070
25025010600,"Prudential / St. Botolph, Boston, MA",52050
25017353700,"Mid-Cambridge, Cambridge, MA",52033
25021400400,"Corey Hill, Brookline, MA",51946
25021400600,"Fisher Hill, Brookline, MA",51869
25025010702,"Back Bay East, Boston, MA",51470
25017354500,"Neighborhood Nine, Cambridge, MA",51093
25025010802,"Back Bay West, Boston, MA",50829
25021400100,"Brookline, MA",50808
25025000803,"Allston, Boston, MA",50749
25025120700,"Jamaica Plain, Boston, MA",50365
25021400700,"Emerson Gardens, Brookline, MA",50280
25025040200,"Charlestown, Boston, MA",50092
25017339700,"South Medford, Medford, MA",50025
25025070101,"Boston, MA",49917
25025081100,"Mission Hill, Boston, MA",49903
25025170800,"Revere, MA",49898
25017353600,"Agassiz, Cambridge, MA",49701
25025020302,"Beacon Hill, Boston, MA",49690
25017351203,"Ward Two, Somerville, MA",49639
25017350400,"Powder House Square, Somerville, MA",49610
25017354700,"North Cambridge, Cambridge, MA",49418
25017350500,"Tufts, Somerville, MA",49413
25025060800,"D Street / West Broadway, Boston, MA",49127
25025060200,"City Point, Boston, MA",49121
25017350800,"Teele Square, Somerville, MA",49085
25025000100,"Lower Allston, Boston, MA",49024
25025180101,"Winthrop, MA",48697
25025070700,"Columbus, Boston, MA",48328
25017339600,"South Medford, Medford, MA",48263
25017352200,"East Cambridge, Cambridge, MA",48149
25017350900,"Davis Square, Somerville, MA",48103
25025040100,"Charlestown, Boston, MA",47853
25025180301,"Winthrop, MA",47779
25025060501,"City Point, Boston, MA",47305
25025180200,"Winthrop, MA",47172
25017351100,"Spring Hill, Somerville, MA",46930
25025070600,"Columbus, Boston, MA",46816
25025060400,"South Boston, Boston, MA",46807
25025170601,"Revere, MA",46774
25025040600,"Charlestown, Boston, MA",46320
25025040300,"Charlestown, Boston, MA",46311
25017352900,"Mid-Cambridge, Cambridge, MA",46234
25017350300,"Magoun Square, Somerville, MA",46193
25017351403,"East Somerville, Somerville, MA",46035
25025091200,"Dorchester, Boston, MA",45931
25017350200,"Winter Hill, Somerville, MA",45763
25025051101,"East Boston, Boston, MA",45739
25025070402,"South End, Boston, MA",45429
25017352300,"East Cambridge, Cambridge, MA",45368
25025010404,"Fenway/Kenmore, Boston, MA",45028
25025040801,"Charlestown, Boston, MA",44955
25017351300,"Prospect Hill, Somerville, MA",44880
25025091300,"Dorchester, Boston, MA",44857
25017352600,"Wellington-Harrington, Cambridge, MA",44856
25025030500,"North End, Boston, MA",44793
25017352102,"East Cambridge, Cambridge, MA",44775
25025000802,"Allston, Boston, MA",44741
25017353000,"Mid-Cambridge, Cambridge, MA",44739
25017353101,"Cambridgeport, Cambridge, MA",44603
25017354600,"Neighborhood Nine, Cambridge, MA",44597
25025050700,"Central-Maverick Square / Paris Street, Boston, MA",44381
25017351500,"Ward Two, Somerville, MA",44224
25017342400,"Everett, MA",44200
25025081800,"Roxbury, Boston, MA",44137
25025060600,"D Street / West Broadway, Boston, MA",44055
25025051000,"East Boston, Boston, MA",44037
25025030400,"North End, Boston, MA",43999
25025050500,"Jeffries Point, Boston, MA",43937
25025061200,"D Street / West Broadway, Boston, MA",43921
25025070200,"Chinatown, Boston, MA",43483
25025170701,"Revere, MA",43480
25025080900,"Mission Hill, Boston, MA",43455
25017352800,"Wellington-Harrington, Cambridge, MA",43397
25017353200,"Cambridgeport, Cambridge, MA",43267
25025160300,"Chelsea, MA",43189
25021400900,"Brookline Village, Brookline, MA",43183
25025050101,"Eagle Hill, Boston, MA",43157
25017353500,"Riverside, Cambridge, MA",43051
25025081001,"Mission Hill, Boston, MA",43032
25025091001,"Dorchester, Boston, MA",42852
25017350104,"Somerville, MA",42634
25025010500,"Prudential / St. Botolph, Boston, MA",42239
25025040401,"Charlestown, Boston, MA",42112
25025070800,"Columbus, Boston, MA",41916
25025160200,"Chelsea, MA",41892
25025160501,"Chelsea, MA",41841
25025120400,"Jamaica Plain, Boston, MA",41618
25017352400,"The Port, Cambridge, MA",41587
25025050901,"Eagle Hill, Boston, MA",41567
25025120600,"Hyde Square, Boston, MA",41209
25017353400,"Cambridgeport, Cambridge, MA",41055
25025060700,"D Street / West Broadway, Boston, MA",40933
25025080500,"South End, Boston, MA",40816
25025071201,"Harrison Lenox, Boston, MA",40720
25017351000,"Spring Hill, Somerville, MA",40586
25025070500,"South End, Boston, MA",40522
25017352500,"The Port, Cambridge, MA",40363
25025050600,"Central-Maverick Square / Paris Street, Boston, MA",40278
25025061000,"Columbus Park / Andrew Square, Boston, MA",40251
25025120500,"Jamaica Plain, Boston, MA",40122
25025051200,"Jeffries Point, Boston, MA",39866
25025160502,"Chelsea, MA",39661
25025081200,"Jamaica Plain, Boston, MA",39536
25025080300,"Roxbury, Boston, MA",38889
25025160400,"Chelsea, MA",38731
25017351204,"Ward Two, Somerville, MA",38669
25025081400,"Highland Park, Boston, MA",38260
25025000703,"Brighton, Boston, MA",38236
25025070900,"South End, Boston, MA",38144
25025081700,"Roxbury, Boston, MA",38024
25025050400,"Jeffries Point, Boston, MA",37823
25025050200,"Central-Maverick Square / Paris Street, Boston, MA",37798
25025090400,"Roxbury, Boston, MA",37599
25025090700,"Dorchester, Boston, MA",37505
25017351404,"East Somerville, Somerville, MA",37373
25025070300,"Boston, MA",37303
25025160101,"Chelsea, MA",36618
25025080401,"Roxbury, Boston, MA",36184
25017352700,"Wellington-Harrington, Cambridge, MA",35428
25025081500,"Roxbury, Boston, MA",33340
25025080601,"Boston, MA",33277
25025050300,"Central-Maverick Square / Paris Street, Boston, MA",33214
25025090600,"Dudley / Brunswick King, Boston, MA",33130
25025061101,"South Boston, Boston, MA",32751
