tract,Name,Individual_Income
24005403802,"Pikesville, MD",56587
24005403803,"Pikesville, MD",49500
24005490400,"Towson, MD",48873
24005490701,"Towson, MD",48642
24510271501,"Mount Washington, Baltimore, MD",46558
24005490500,"Towson, MD",46133
24005403701,"Owings Mills, MD",44106
24005491000,"Baltimore, MD",43934
24005403500,"Pikesville, MD",43776
24005403601,"Baltimore, MD",43547
24510271400,"Evergreen, Baltimore, MD",43522
24510120100,"Tuscany - Canterbury, Baltimore, MD",43386
24510271300,"Roland Park, Baltimore, MD",42781
24027601104,"Ellicott City, MD",42510
24005411309,"Perry Hall, MD",42146
24510271200,"Homeland, Baltimore, MD",42081
24027602700,"Taylor Village, Ellicott City, MD",42047
24005400400,"Catonsville, MD",41230
24027602100,"Ellicott City, MD",41228
24005400500,"Catonsville, MD",40992
24005490603,"Baltimore, MD",40963
24005490800,"Towson, MD",40940
24027602302,"Columbia, MD",40444
24005490601,"Baltimore, MD",40410
24005411308,"Nottingham, MD",40386
24027606706,"Kendall Ridge, Columbia, MD",40302
24005490602,"Baltimore, MD",39889
24005403602,"Baltimore, MD",39635
24005401504,"Catonsville, MD",39371
24005403401,"Pikesville, MD",39346
24027606607,"Long Reach, Columbia, MD",39231
24510020300,"Fells Point, Baltimore, MD",39150
24027601103,"West Elkridge, Elkridge, MD",38953
24005430600,"Relay, Halethorpe, MD",38297
24005401503,"Catonsville, MD",38199
24003751400,"Severn, MD",38186
24003750400,"Linthicum Heights, MD",38044
24005411303,"Nottingham, MD",37965
24005491300,"Baltimore, MD",37912
24510271102,"Mid-Charles, Baltimore, MD",37888
24005401000,"Catonsville, MD",37804
24005411307,"Nottingham, MD",37748
24027601105,"Ellicott City, MD",37639
24005411410,"Parkville, MD",37394
24510120202,"Baltimore, MD",37232
24510240200,"Riverside, Baltimore, MD",37172
24005411404,"Parkville, MD",36887
24003740103,"Hanover, MD",36853
24005491100,"Baltimore, MD",36799
24027602800,"Ellicott City, MD",36553
24027601108,"Ellicott City, MD",36480
24510220100,"Baltimore, MD",36380
24005401400,"Catonsville, MD",36340
24005490703,"Towson, MD",36252
24005492002,"Parkville, MD",36214
24005411306,"Nottingham, MD",36000
24005440500,"Nottingham, MD",35798
24510130805,"Cold Springs, Baltimore, MD",35573
24027601201,"Elkridge, MD",35434
24510271503,"Cross Keys, Baltimore, MD",35185
24005492200,"Parkville, MD",35184
24005492101,"Parkville, MD",34980
24510270703,"North Harford Road, Baltimore, MD",34890
24005440600,"Rosedale, MD",34850
24005440100,"Baltimore, MD",34814
24027606606,"Long Reach, Columbia, MD",34801
24005441101,"Rosedale, MD",34686
24003731306,"Pasadena, MD",34594
24005451702,"Middle River, MD",34445
24005440200,"Nottingham, MD",34384
24005492402,"Owings Mills, MD",34314
24005451200,"Middle River, MD",34306
24005430400,"Halethorpe, MD",34191
24005440900,"Rosedale, MD",34159
24005400200,"Catonsville, MD",34020
24027602900,"Normandy, Ellicott City, MD",33992
24005400702,"Baltimore, MD",33897
24005491900,"Parkville, MD",33800
24005400100,"Catonsville, MD",33761
24003731308,"Pasadena, MD",33698
24005440800,"Rosedale, MD",33678
24003750801,"Glen Burnie, MD",33653
24005491500,"Parkville, MD",33591
24027602600,"Ellicott City, MD",33510
24005451900,"Edgemere, MD",33497
24005401505,"Catonsville, MD",33398
24003750804,"Glen Burnie, MD",33260
24005402603,"Randallstown, MD",33228
24005450900,"Essex, MD",33061
24003740201,"South Gate, Glen Burnie, MD",32993
24005451000,"Essex, MD",32941
24005452100,"Sparrows Point, MD",32937
24005441102,"Rosedale, MD",32927
