tract,Name,Spouse_Income
24005490400,"Towson, MD",70619
24005403802,"Pikesville, MD",64047
24005403803,"Pikesville, MD",63577
24005491000,"Baltimore, MD",60678
24510271102,"Mid-Charles, Baltimore, MD",59881
24005490500,"Towson, MD",58346
24510271400,"Evergreen, Baltimore, MD",58046
24510271300,"Roland Park, Baltimore, MD",57324
24005490603,"Baltimore, MD",56831
24510271200,"Homeland, Baltimore, MD",56102
24510271501,"Mount Washington, Baltimore, MD",54158
24510120100,"Tuscany - Canterbury, Baltimore, MD",52832
24005490602,"Baltimore, MD",52639
24005403701,"Owings Mills, MD",52354
24005490800,"Towson, MD",52261
24005403601,"Baltimore, MD",51737
24005490900,"Towson, MD",51691
24027606706,"Kendall Ridge, Columbia, MD",51559
24005403100,"Gwynn Oak, Pikesville, MD",51548
24005403602,"Baltimore, MD",50995
24027602100,"Ellicott City, MD",50696
24510240100,"Locust Point, Baltimore, MD",50318
24005490601,"Baltimore, MD",50305
24005401503,"Catonsville, MD",49823
24005440500,"Nottingham, MD",49811
24510070400,"Gay Street, Baltimore, MD",49810
24003731306,"Pasadena, MD",49599
24510140100,"Bolton Hill, Baltimore, MD",49505
24005411306,"Nottingham, MD",49485
24005411308,"Nottingham, MD",49425
24027602800,"Ellicott City, MD",49248
24027601204,"Elkridge, MD",49224
24005402603,"Randallstown, MD",49150
24027602700,"Taylor Village, Ellicott City, MD",49091
24027606607,"Long Reach, Columbia, MD",48998
24027602302,"Columbia, MD",48965
24005401504,"Catonsville, MD",48898
24005400400,"Catonsville, MD",48881
24005492001,"Parkville, MD",48878
24027601103,"West Elkridge, Elkridge, MD",48792
24005430600,"Relay, Halethorpe, MD",48740
24005403500,"Pikesville, MD",48697
24027601108,"Ellicott City, MD",48598
24005451702,"Middle River, MD",48298
24510120201,"Baltimore, MD",48230
24510010400,"Canton, Baltimore, MD",48223
24005440800,"Rosedale, MD",48093
24005411302,"White Marsh, MD",48053
24005491500,"Parkville, MD",48012
24003751400,"Severn, MD",48003
24027601105,"Ellicott City, MD",47845
24005411408,"Nottingham, MD",47784
24005403402,"Pikesville, MD",47504
24510130806,"Woodberry, Baltimore, MD",47476
24005411303,"Nottingham, MD",47330
24510220100,"Baltimore, MD",47311
24005401000,"Catonsville, MD",47217
24005450501,"Essex, MD",47143
24005411407,"Parkville, MD",47105
24005403201,"Gwynn Oak, Lochearn, MD",47056
24005491300,"Baltimore, MD",47048
24510271101,"Radnor - Winston, Baltimore, MD",47032
24510270101,"Arcadia, Baltimore, MD",47016
24005440100,"Baltimore, MD",47008
24510270804,"Lake Walker, Baltimore, MD",46997
24005411309,"Perry Hall, MD",46866
24005403401,"Pikesville, MD",46822
24027602900,"Normandy, Ellicott City, MD",46795
24510120202,"Baltimore, MD",46743
24005440702,"Rosedale, MD",46626
24005411307,"Nottingham, MD",46439
24005401400,"Catonsville, MD",46431
